name,price_basic,price_product,rating,reviewRating
PRO H610M-E DDR4 Soc-1700 Intel H610 2,5940.0,5108.0,5,5.0
Неттоп Cubi N100 8Gb SSD 256Gb UHDG,27200.0,20791.0,0,0.0
Видеокарта GeForce RTX 5060 VENTUS 3X OC 8GB,38899.0,38899.0,0,0.0
"Ноутбук 14"" Intel Core i5 12500H 2.5ГГц W11H 16ГБ 512ГБ",82700.0,69468.0,5,5.0
"Ноутбук игровой 15.6"" i7 16Gb 512 Gb RTX 3050 DOS",96700.0,81228.0,5,5.0
"Моноблок 23.8"" Intel Core i7 14700 2.1ГГц noOS 32Гб 512Гб",95990.0,78212.0,5,5.0
B550M PRO-VDH WIFI Soc-AM4 AMD B550 4x,10010.0,8608.0,5,5.0
"Ноутбук 14"" Intel Core i3 1215U 1.2ГГц W11Pro 8ГБ 256ГБ",62139.0,52196.0,0,0.0
"Ноутбук Vector 16 HX 16Gb SSD1Tb 16""",273900.0,223173.0,0,0.0
"Ноутбук 14"" Intel Core i5 1235U 1.3ГГц W11Pro 16ГБ 512ГБ",76900.0,64596.0,0,0.0
"Ноутбук 14"" AMD Ryzen 5 7530U 2ГГц noOS 8ГБ 512ГБ",54600.0,48594.0,0,0.0
"Ноутбук Thin 15 16Gb SSD512Gb RTX 2050 4Gb 15.6""",75699.0,63587.0,5,5.0
"Ноутбук 15.6"" Intel Core i7 13620H 2.4ГГц W11H 16ГБ 512ГБ",138990.0,123701.0,0,0.0
"Материнская плата Z790 GAMING PLUS WIFI DDR5, LGA 1700",20969.0,18033.0,5,5.0
Ноутбук Sword 16 HX B14VFKG-202US i7 14650HX SSD1Tb RTX4060,165300.0,134686.0,5,5.0
"Игровой ноутбук Sword 16 HX B13VGKG-855XRU SSD1Tb 16""",165300.0,138852.0,5,5.0
"Ноутбук 16"" Intel Core Ultra 7 155H 1.4ГГц W11H 16ГБ 1024ГБ",207900.0,174636.0,5,5.0
"15.6"" Thin 15 B12UC Intel Core i5-12450H 16 512ГБ RTX 3050",92704.0,70862.0,0,0.0
"Ноутбук 15.6"" Intel Core i5 W11 32 ГБ 1024 ГБ черный",92400.0,82236.0,0,0.0
Зарядка для ноутбука 65W 19V 3.42A штекер 5.5x2.5мм,2529.0,1259.0,5,4.7
Ноутбук Prestige 14 EVO B13M-635US i5 13500H 32Gb,103900.0,92471.0,0,0.0
Мышь Clutch GM31 Lightweight черный оптическая,4238.0,3488.0,5,5.0
